id,last_scraped,neighbourhood_group_cleansed,latitude,longitude,room_type,price
13816010,2018/12/16,Salt Spring Island,48.8340772,-123.4738308,Entire home/apt,395.00 
13831338,2018/12/16,Victoria,48.40698608,-123.353843,Entire home/apt,199.00 
13840938,2018/12/16,Victoria,48.43276638,-123.3607051,Entire home/apt,99.00 
13844654,2018/12/16,Sooke,48.38979563,-123.6328648,Entire home/apt,244.00 
13845755,2018/12/16,Sooke,48.39011806,-123.6341916,Private room,187.00 
13847049,2018/12/16,Sooke,48.38817636,-123.6344112,Entire home/apt,232.00 
13865416,2018/12/16,Langford,48.46542255,-123.5132841,Entire home/apt,60.00 
13866511,2018/12/16,Oak Bay,48.43254843,-123.3076995,Entire home/apt,245.00 
13867116,2018/12/16,Juan de Fuca,48.3388899,-123.6377666,Entire home/apt,195.00 
13868213,2018/12/16,Esquimalt,48.42300034,-123.4083535,Entire home/apt,80.00 
13878736,2018/12/16,Saanich,48.50168902,-123.3722228,Private room,150.00 
13882275,2018/12/16,Saanich,48.50524244,-123.3680439,Entire home/apt,41.00 
13899478,2018/12/16,Salt Spring Island,48.88541006,-123.5460062,Entire home/apt,165.00 
13914377,2018/12/16,Saanich,48.50764577,-123.3674445,Entire home/apt,104.00 
13914539,2018/12/16,Central Saanich,48.5965788,-123.4480615,Entire home/apt,90.00 
13914656,2018/12/16,Southern Gulf Islands,48.87764382,-123.3159224,Entire home/apt,150.00 
13926780,2018/12/16,Saanich,48.45447247,-123.4135565,Private room,104.00 
13927304,2018/12/16,Victoria,48.4280384,-123.3620912,Entire home/apt,130.00 
13929339,2018/12/16,Southern Gulf Islands,48.81144105,-123.3100907,Entire home/apt,110.00 
13939898,2018/12/16,Saanich,48.52088396,-123.3713147,Entire home/apt,98.00 
13956271,2018/12/16,Oak Bay,48.43504285,-123.3111456,Private room,67.00 
13957171,2018/12/16,Victoria,48.41702387,-123.3477005,Entire home/apt,167.00 
13974719,2018/12/16,Victoria,48.44266656,-123.3602667,Private room,75.00 
13981873,2018/12/16,Salt Spring Island,48.92632747,-123.5601799,Entire home/apt,400.00 
13999336,2018/12/16,Victoria,48.43266982,-123.3342448,Entire home/apt,150.00 
13999492,2018/12/16,Victoria,48.41424901,-123.3280362,Entire home/apt,351.00 
13999967,2018/12/16,Southern Gulf Islands,48.87573379,-123.3218101,Entire home/apt,110.00 
14007177,2018/12/16,Southern Gulf Islands,48.80182234,-123.3126871,Entire home/apt,165.00 
14008822,2018/12/16,North Saanich,48.68761276,-123.4028067,Private room,67.00 
14012065,2018/12/16,Victoria,48.42747291,-123.3596134,Entire home/apt,70.00 
14013161,2018/12/16,Saanich,48.44207895,-123.324496,Entire home/apt,99.00 
14027394,2018/12/16,Salt Spring Island,48.8473414,-123.4479656,Private room,249.00 
14028205,2018/12/16,View Royal,48.45004177,-123.4332614,Private room,99.00 
14029111,2018/12/16,Victoria,48.42863412,-123.3705511,Entire home/apt,124.00 
14031960,2018/12/16,Victoria,48.43961203,-123.3544951,Entire home/apt,179.00 
14042264,2018/12/16,Salt Spring Island,48.91390496,-123.52874,Private room,95.00 
14043673,2018/12/16,Victoria,48.43019619,-123.364044,Entire home/apt,165.00 
14043991,2018/12/16,Colwood,48.4234651,-123.4743603,Private room,52.00 
