"","neighbourhood_group_cleansed","latitude","longitude","room_type","bathrooms","bedrooms","price"
"377","Saanich",48.4558502275078,-123.413110857408,"Entire home/apt",1,0,"$100.00"
"378","Saanich",48.5359590916123,-123.386164399384,"Entire home/apt",1.5,2,"$86.00"
"379","Saanich",48.4590035339634,-123.342011844046,"Entire home/apt",1,1,"$86.00"
"380","Victoria",48.4297393805398,-123.369425686817,"Entire home/apt",1,1,"$144.00"
"381","North Saanich",48.6854940599129,-123.414668195616,"Entire home/apt",2,1,"$125.00"
"382","North Saanich",48.6834062825682,-123.413986309507,"Private room",1,1,"$78.00"
"383","North Saanich",48.6844576448996,-123.413663603636,"Entire home/apt",2,1,"$125.00"
"384","North Saanich",48.6835778474956,-123.413789041444,"Private room",1,1,"$99.00"
"385","Southern Gulf Islands",48.7603573266172,-123.285575020515,"Private room",1,1,"$61.00"
"386","Victoria",48.4268252627496,-123.345254539818,"Private room",1,1,"$59.00"
"387","Victoria",48.422824059488,-123.380680830567,"Entire home/apt",2,2,"$375.00"
"388","Saanich",48.5133251993426,-123.36529711216,"Entire home/apt",1,1,"$140.00"
"389","Salt Spring Island",48.8866161797965,-123.573930549449,"Entire home/apt",1,2,"$150.00"
"390","Saanich",48.460570633755,-123.392291504202,"Entire home/apt",1,1,"$86.00"
"391","Victoria",48.4101040275634,-123.372711909197,"Private room",1,1,"$49.00"
"392","Saanich",48.453862658754,-123.32613250832,"Entire home/apt",1,1,"$134.00"
"393","Victoria",48.4301737188304,-123.326002580822,"Private room",1,1,"$40.00"
"394","Southern Gulf Islands",48.8686146495258,-123.341312113024,"Entire home/apt",1,2,"$150.00"
"395","Central Saanich",48.5952321430039,-123.40430972035,"Private room",1,1,"$70.00"
"396","Central Saanich",48.5857323132128,-123.418630950474,"Entire home/apt",1,1,"$125.00"
"397","Victoria",48.4151846831599,-123.382764857266,"Private room",1,1,"$97.00"
"398","Central Saanich",48.6103286735302,-123.474842645967,"Entire home/apt",1,1,"$70.00"
"399","Saanich",48.47424457036,-123.389994230395,"Private room",1,1,"$36.00"
"400","View Royal",48.4554457516178,-123.44836282648,"Entire home/apt",1,1,"$86.00"
"401","Saanich",48.519448709633,-123.371066352302,"Entire home/apt",1,1,"$134.00"
"402","Victoria",48.4156242263829,-123.368628894186,"Private room",1,2,"$145.00"
"403","Victoria",48.4202152648202,-123.376797175907,"Private room",1.5,1,"$79.00"
"404","Juan de Fuca",48.3660469475907,-123.68957647324,"Entire home/apt",2,4,"$265.00"
"405","Langford",48.4398969109993,-123.526829366388,"Entire home/apt",2,4,"$400.00"
"406","Victoria",48.4378963342628,-123.351448748925,"Entire home/apt",1,2,"$112.00"
"407","Central Saanich",48.5745568701063,-123.460064705936,"Entire home/apt",1,1,"$80.00"
"408","Sooke",48.3960869710351,-123.659126720468,"Private room",1,1,"$68.00"
"409","Victoria",48.4263920582968,-123.36275820752,"Entire home/apt",1,1,"$149.00"
"410","Victoria",48.4265243782684,-123.362925753041,"Entire home/apt",2,2,"$159.00"
"411","Juan de Fuca",48.5705517821234,-123.49120491215,"Entire home/apt",1,0,"$125.00"
"412","Victoria",48.4206194314673,-123.377239681535,"Private room",1,1,"$180.00"
"413","Victoria",48.4372912623626,-123.350458541298,"Entire home/apt",1,1,"$90.00"
"414","Victoria",48.4259118223293,-123.361554623634,"Entire home/apt",1,1,"$130.00"
"415","Victoria",48.4278348588616,-123.362666883862,"Entire home/apt",1,2,"$159.00"
"416","Victoria",48.4276636769546,-123.363142399392,"Entire home/apt",1,1,"$97.00"
"417","Victoria",48.4279242659713,-123.361613830839,"Entire home/apt",2,2,"$159.00"
"418","Victoria",48.4265857270922,-123.361503144597,"Entire home/apt",1,2,"$159.00"
"419","Victoria",48.4260379432636,-123.362874012442,"Entire home/apt",1,1,"$149.00"
"420","Victoria",48.4278289959998,-123.362664101005,"Entire home/apt",1,2,"$159.00"
"421","Saanich",48.4724946170989,-123.396074382733,"Entire home/apt",1,0,"$100.00"
"422","Victoria",48.4260357585212,-123.377340249291,"Entire home/apt",1.5,1,"$90.00"
"423","Saanich",48.4649635726186,-123.343523133012,"Entire home/apt",1,2,"$151.00"
"424","Saanich",48.462509185769,-123.324655286678,"Entire home/apt",2,4,"$850.00"
"425","Saanich",48.4542665188249,-123.272645859169,"Entire home/apt",2.5,5,"$250.00"
"426","Saanich",48.5284425499018,-123.42607351815,"Private room",0,1,"$134.00"
"427","Juan de Fuca",48.4355857634744,-124.067429408132,"Entire home/apt",1,1,"$199.00"
"428","Southern Gulf Islands",48.8437420401607,-123.253568094361,"Entire home/apt",1,2,"$119.00"
"429","Victoria",48.4148589089141,-123.360005288674,"Entire home/apt",1,1,"$125.00"
"430","Esquimalt",48.4457499507641,-123.400376809424,"Entire home/apt",1.5,3,"$150.00"
"431","North Saanich",48.6161755268995,-123.407950222275,"Private room",1,1,"$65.00"
"432","Southern Gulf Islands",48.8742821078593,-123.32162085516,"Entire home/apt",1,1,"$170.00"
"433","Saanich",48.482521096777,-123.399277009189,"Entire home/apt",1,2,"$134.00"
"434","Victoria",48.4174630218756,-123.376490720513,"Entire home/apt",1,2,"$100.00"
"435","Salt Spring Island",48.8346082423113,-123.492995826955,"Entire home/apt",1,2,"$146.00"
"436","Victoria",48.422003823663,-123.378492423754,"Private room",1,1,"$70.00"
"437","Victoria",48.4198997122373,-123.382837284195,"Entire home/apt",1,2,"$120.00"
"438","Esquimalt",48.4237767482206,-123.412217155157,"Entire home/apt",1,2,"$99.00"
"439","Southern Gulf Islands",48.8088393001508,-123.280201720676,"Entire home/apt",1,1,"$150.00"
"440","North Saanich",48.686073875877,-123.402721081538,"Private room",1,1,"$67.00"
"441","Victoria",48.4178676461895,-123.384449344829,"Entire home/apt",1.5,2,"$100.00"
"442","Victoria",48.4391215170829,-123.39170961773,"Entire home/apt",1,1,"$100.00"
"443","Sooke",48.3675926845752,-123.783384687063,"Entire home/apt",1.5,1,"$140.00"
"444","Saanich",48.4745985245358,-123.326492351722,"Entire home/apt",2.5,3,"$180.00"
"445","Victoria",48.4426405321095,-123.356123446897,"Entire home/apt",2,2,"$184.00"
"446","Victoria",48.4091097724807,-123.352815567781,"Entire home/apt",1,1,"$95.00"
"447","Central Saanich",48.5761688221402,-123.456042521289,"Entire home/apt",3,3,"$275.00"
"448","Salt Spring Island",48.8503708594655,-123.500935634265,"Entire home/apt",1,1,"$150.00"
"449","Victoria",48.4278331431978,-123.362266967407,"Entire home/apt",1,1,"$149.00"
"450","Victoria",48.4283711648984,-123.364177097034,"Entire home/apt",1,1,"$109.00"
"451","Esquimalt",48.4479891377576,-123.415181735808,"Private room",1,1,"$61.00"
"452","Victoria",48.4405644217366,-123.354931916933,"Private room",1,1,"$68.00"
"453","Saanich",48.4832420533761,-123.317305429939,"Entire home/apt",1,1,"$100.00"
"454","Salt Spring Island",48.8570846032245,-123.452055594803,"Entire home/apt",1,1,"$125.00"
"455","Victoria",48.425998671781,-123.364696321337,"Entire home/apt",1,0,"$150.00"
"456","North Saanich",48.6162427407162,-123.409075087667,"Private room",1,1,"$65.00"
"457","North Saanich",48.6157364095569,-123.408796854451,"Entire home/apt",1,2,"$99.00"
"458","Saanich",48.5219952341674,-123.365349367965,"Entire home/apt",1,0,"$99.00"
"459","Salt Spring Island",48.865707362709,-123.53427135301,"Entire home/apt",2.5,3,"$120.00"
"460","North Saanich",48.6190644041273,-123.419965810042,"Entire home/apt",1,2,"$120.00"
"461","Saanich",48.4874513048642,-123.313015986086,"Entire home/apt",1,1,"$80.00"
"462","Victoria",48.4369227912442,-123.387230226753,"Entire home/apt",1,1,"$90.00"
"463","Saanich",48.4611183033759,-123.380660484277,"Private room",1,1,"$55.00"
"464","Juan de Fuca",48.3825890185079,-123.901771899174,"Entire home/apt",1,1,"$180.00"
