"","neighbourhood_group_cleansed","latitude","longitude","room_type","bathrooms","bedrooms","price"
"480","Victoria",48.41466,-123.34878,"Entire home/apt",1.5,2,"$185.00"
"481","Southern Gulf Islands",48.87297,-123.31444,"Entire home/apt",1,1,"$165.00"
"482","Salt Spring Island",48.85919,-123.51175,"Private room",1,1,"$160.00"
"483","Langford",48.42626,-123.53192,"Entire home/apt",1,0,"$70.00"
"484","Victoria",48.41385,-123.38128,"Entire home/apt",2,2,"$334.00"
"485","Juan de Fuca",48.46057,-123.26055,"Entire home/apt",1,1,"$129.00"
"486","Victoria",48.42918,-123.36968,"Entire home/apt",1,1,"$140.00"
"487","Salt Spring Island",48.8193,-123.53229,"Entire home/apt",1,0,"$150.00"
"488","Langford",48.41642,-123.5147,"Entire home/apt",1,1,"$70.00"
"489","Victoria",48.43023,-123.36938,"Entire home/apt",1,1,"$98.00"
"490","Southern Gulf Islands",48.75319,-123.27059,"Entire home/apt",1,4,"$250.00"
"491","Victoria",48.44424,-123.35819,"Private room",1,1,"$60.00"
"492","Victoria",48.4259,-123.36277,"Entire home/apt",1,1,"$149.00"
"493","Langford",48.46296,-123.48857,"Private room",1,1,"$52.00"
"494","Saanich",48.48822,-123.31433,"Entire home/apt",1,2,"$70.00"
"495","Juan de Fuca",48.33088,-123.63746,"Entire home/apt",1,3,"$250.00"
"496","Esquimalt",48.43912,-123.42125,"Entire home/apt",1,0,"$70.00"
"497","Oak Bay",48.44003,-123.30897,"Entire home/apt",1,1,"$125.00"
"498","Juan de Fuca",48.37345,-123.83216,"Private room",1,1,"$120.00"
"499","Salt Spring Island",48.8909,-123.55663,"Private room",1,1,"$77.00"
"500","Victoria",48.42626,-123.36904,"Entire home/apt",1,0,"$150.00"
"501","Victoria",48.42858,-123.3446,"Entire home/apt",1,1,"$95.00"
"502","Southern Gulf Islands",48.88044,-123.32044,"Entire home/apt",2.5,4,"$279.00"
"503","Salt Spring Island",48.87899,-123.53564,"Entire home/apt",1,2,"$81.00"
"504","Victoria",48.4133,-123.36958,"Private room",1,2,"$46.00"
"505","Victoria",48.42973,-123.36889,"Entire home/apt",1,1,"$120.00"
"506","Oak Bay",48.43404,-123.31606,"Private room",1,1,"$55.00"
"507","Saanich",48.45948,-123.34172,"Entire home/apt",1,1,"$87.00"
"508","Salt Spring Island",48.84396,-123.5023,"Entire home/apt",1,2,"$145.00"
"509","Victoria",48.42774,-123.34944,"Private room",1,1,"$46.00"
"510","Salt Spring Island",48.86262,-123.53446,"Private room",1,1,"$89.00"
"511","Salt Spring Island",48.85973,-123.53662,"Private room",2,1,"$66.00"
"512","Saanich",48.47008,-123.39729,"Entire home/apt",1,1,"$99.00"
"513","Victoria",48.42855,-123.37998,"Entire home/apt",1,1,"$110.00"
"514","Victoria",48.42593,-123.32415,"Entire home/apt",1,3,"$132.00"
"515","Saanich",48.52038,-123.36994,"Entire home/apt",1,2,"$299.00"
"516","Saanich",48.45437,-123.37291,"Entire home/apt",2,2,"$99.00"
"517","Sidney",48.6525,-123.3986,"Entire home/apt",1.5,2,"$299.00"
"518","Juan de Fuca",48.37231,-123.83421,"Private room",1,1,"$130.00"
"519","Juan de Fuca",48.37194,-123.83421,"Entire home/apt",1,1,"$150.00"
"520","Victoria",48.42005,-123.3474,"Entire home/apt",1,1,"$90.00"
"521","Langford",48.46572,-123.48538,"Entire home/apt",3,3,"$140.00"
"522","Salt Spring Island",48.8619,-123.53493,"Private room",2,1,"$89.00"
"523","Saanich",48.51945,-123.36797,"Entire home/apt",1,1,"$149.00"
"524","View Royal",48.45182,-123.4435,"Private room",1,2,"$359.00"
"525","Victoria",48.43604,-123.38211,"Entire home/apt",1,1,"$99.00"
"526","Juan de Fuca",48.36989,-123.69051,"Entire home/apt",1.5,1,"$136.00"
"527","Saanich",48.48369,-123.32494,"Entire home/apt",1,2,"$90.00"
"528","Salt Spring Island",48.8441,-123.5019,"Entire home/apt",1,2,"$125.00"
"529","Victoria",48.42176,-123.3814,"Entire home/apt",2,2,"$396.00"
"530","Saanich",48.44872,-123.32999,"Entire home/apt",1,2,"$150.00"
"531","Southern Gulf Islands",48.89494,-123.36083,"Entire home/apt",1,2,"$99.00"
"532","Saanich",48.47527,-123.33113,"Entire home/apt",1,2,"$99.00"
"533","Saanich",48.518,-123.36727,"Entire home/apt",1,2,"$279.00"
"534","Southern Gulf Islands",48.92619,-123.45588,"Entire home/apt",1,0,"$125.00"
"535","Salt Spring Island",48.78778,-123.42161,"Private room",1,1,"$125.00"
"536","Salt Spring Island",48.82462,-123.45995,"Entire home/apt",1,0,"$150.00"
"537","Victoria",48.42563,-123.36247,"Entire home/apt",1,1,"$99.00"
"538","Oak Bay",48.42934,-123.31187,"Entire home/apt",1,1,"$70.00"
"539","Victoria",48.4342,-123.33939,"Entire home/apt",1,1,"$103.00"
"540","Salt Spring Island",48.89498,-123.5304,"Entire home/apt",1,1,"$95.00"
"541","Salt Spring Island",48.88959,-123.50747,"Entire home/apt",1,0,"$99.00"
"542","Saanich",48.46549,-123.33356,"Entire home/apt",1,1,"$55.00"
"543","Victoria",48.41499,-123.35895,"Private room",1,1,"$70.00"
"544","Victoria",48.42599,-123.36096,"Entire home/apt",1,2,"$158.00"
"545","Saanich",48.47759,-123.31579,"Entire home/apt",1,2,"$200.00"
"546","View Royal",48.45501,-123.42691,"Entire home/apt",1,1,"$99.00"
"547","Salt Spring Island",48.87956,-123.56082,"Entire home/apt",1,1,"$136.00"
"548","Saanich",48.46543,-123.36701,"Entire home/apt",1,2,"$81.00"
"549","Saanich",48.45361,-123.41074,"Entire home/apt",1,1,"$85.00"
"550","Langford",48.44864,-123.50898,"Private room",1.5,2,"$30.00"
"551","Oak Bay",48.42993,-123.31415,"Entire home/apt",2,2,"$236.00"
"552","Juan de Fuca",48.37892,-123.80775,"Private room",1,1,"$136.00"
"553","Juan de Fuca",48.37868,-123.80685,"Private room",1,1,"$125.00"
"554","Victoria",48.42781,-123.36126,"Entire home/apt",1,1,"$149.00"
"555","Victoria",48.43042,-123.35796,"Private room",1,1,"$75.00"
"556","Langford",48.44565,-123.51062,"Entire home/apt",1,1,"$95.00"
"557","Victoria",48.42703,-123.35615,"Entire home/apt",1,0,"$95.00"
"558","Victoria",48.42571,-123.35764,"Entire home/apt",1,0,"$105.00"
"559","Sidney",48.64826,-123.39832,"Entire home/apt",1,1,"$200.00"
"560","Southern Gulf Islands",48.80003,-123.30476,"Entire home/apt",1,1,"$82.00"
"561","Victoria",48.42677,-123.36955,"Entire home/apt",1,0,"$95.00"
"562","Juan de Fuca",48.37956,-123.80868,"Private room",1,1,"$125.00"
"563","Salt Spring Island",48.84651,-123.49763,"Private room",1,1,"$140.00"
"564","Saanich",48.45688,-123.41671,"Entire home/apt",1,1,"$70.00"
"565","Victoria",48.43172,-123.36026,"Entire home/apt",1,1,"$85.00"
"566","Saanich",48.46283,-123.35143,"Private room",1,1,"$99.00"
"567","Saanich",48.46138,-123.35252,"Private room",1,1,"$99.00"
"568","Saanich",48.46253,-123.35274,"Private room",1,1,"$79.00"
"569","Juan de Fuca",48.37948,-123.80686,"Private room",2,3,"$340.00"
"570","Salt Spring Island",48.84699,-123.49809,"Private room",1,1,"$171.00"
"571","Victoria",48.43592,-123.38665,"Entire home/apt",1,0,"$82.00"
"572","Salt Spring Island",48.80877,-123.45264,"Private room",0.5,1,"$52.00"
"573","Oak Bay",48.43583,-123.31614,"Private room",1,1,"$50.00"
"574","Southern Gulf Islands",48.7739,-123.29308,"Private room",1,1,"$50.00"
"575","Southern Gulf Islands",48.76651,-123.27302,"Private room",1,1,"$145.00"
"576","Southern Gulf Islands",48.76868,-123.27433,"Private room",1,1,"$125.00"
"577","Southern Gulf Islands",48.76835,-123.27276,"Private room",1,1,"$160.00"
"578","Southern Gulf Islands",48.76637,-123.27494,"Private room",1,1,"$115.00"
